village,Id,Idx,Pop_2016_II,Pop_2017_I,kasus
Kricak,1,0,13091,13009,39
Karangwaru,2,1,9879,9825,22
Bener,3,2,4824,4839,2
Cokrodiningratan,4,3,9003,8929,30
Terban,5,4,9191,9132,30
Klitren,6,5,9433,9372,21
Demangan,7,6,8676,8600,12
Bumijo,8,7,10374,10257,22
Tegalrejo,9,8,9036,9044,35
Gowongan,10,9,8260,8090,22
Kotabaru,11,10,2697,2678,23
Sosromenduran,12,11,7803,7729,18
Baciro,13,12,12112,12213,32
Mujamuju,14,13,10702,10609,33
Bausasran,15,14,7337,7320,27
Pringgokusuman,16,15,12780,12607,21
Tegalpanggung,17,16,9268,9196,34
Suryatmajan,18,17,4737,4703,11
Pakuncen,19,18,10841,10847,24
Semaki,20,19,5177,5138,7
Ngupasan,21,20,5790,5690,11
Purwokinanti,22,21,6258,6201,5
Gunungketur,23,22,4472,4489,22
Wirobrajan,24,23,9442,9353,25
Notoprajan,25,24,8203,8172,24
Prawirodirjan,26,25,9357,9296,25
Wirogunan,27,26,11322,11276,21
Tahunan,28,27,9156,9011,30
Warungboto,29,28,9012,8958,30
Rejowinangun,30,29,12287,12338,23
Panembahan,31,30,9295,9188,20
Kadipaten,32,31,6863,6833,18
Patangpuluhan,33,32,7564,7579,16
Keparakan,34,33,9951,9935,21
Patehan,35,34,5911,5880,17
Gedongkiwo,36,35,13966,13987,26
Pandeyan,37,36,12070,11989,29
Suryodiningratan,38,37,11066,11039,28
Prenggan,39,38,11038,11027,36
Mantrijeron,40,39,10304,10193,39
Sorosutan,41,40,14991,15026,60
Brontokusuman,42,41,10731,10682,38
Purbayan,43,42,10010,10001,29
Giwangan,44,43,7501,7541,21
Ngampilan,45,44,10550,10441,29
