year,month,time,denguel0,denguel1,denguel2,denguel3,denguel6,denguel12,denguel24,templ0,templ1,templ2,templ3,rainl0,rainl1,rainl2,rainl3,census,figures
2001,1,1,48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.4,#N/A,#N/A,#N/A,493,#N/A,#N/A,#N/A,396644,498220
2001,2,2,47,48,#N/A,#N/A,#N/A,#N/A,#N/A,26,25.4,#N/A,#N/A,304,493,#N/A,#N/A,396576,498742
2001,3,3,47,47,48,#N/A,#N/A,#N/A,#N/A,26.1,26,25.4,#N/A,466,304,493,#N/A,396509,499263
2001,4,4,63,47,47,48,#N/A,#N/A,#N/A,26.9,26.1,26,25.4,335,466,304,493,396442,499784
2001,5,5,142,63,47,47,#N/A,#N/A,#N/A,27.2,26.9,26.1,26,46,335,466,304,396374,500305
2001,6,6,66,142,63,47,#N/A,#N/A,#N/A,26.3,27.2,26.9,26.1,83,46,335,466,396307,500826
2001,7,7,67,66,142,63,48,#N/A,#N/A,25.6,26.3,27.2,26.9,30,83,46,335,396239,501348
2001,8,8,50,67,66,142,47,#N/A,#N/A,25.6,25.6,26.3,27.2,0,30,83,46,396172,501869
2001,9,9,35,50,67,66,47,#N/A,#N/A,27.4,25.6,25.6,26.3,2,0,30,83,396105,502390
2001,10,10,24,35,50,67,63,#N/A,#N/A,27.1,27.4,25.6,25.6,212,2,0,30,396037,502912
2001,11,11,15,24,35,50,142,#N/A,#N/A,27,27.1,27.4,25.6,201,212,2,0,395970,503433
2001,12,12,3,15,24,35,66,#N/A,#N/A,26.3,27,27.1,27.4,161,201,212,2,395903,503954
2002,1,13,61,3,15,24,67,48,#N/A,26.5,26.3,27,27.1,530,161,201,212,395835,504534
2002,2,14,43,61,3,15,50,47,#N/A,26.2,26.5,26.3,27,456,530,161,201,395768,505114
2002,3,15,32,43,61,3,35,47,#N/A,27.1,26.2,26.5,26.3,166,456,530,161,395700,505694
2002,4,16,59,32,43,61,24,63,#N/A,27.1,27.1,26.2,26.5,120,166,456,530,395633,506274
2002,5,17,52,59,32,43,15,142,#N/A,27.2,27.1,27.1,26.2,97,120,166,456,395566,506854
2002,6,18,32,52,59,32,3,66,#N/A,26.2,27.2,27.1,27.1,0,97,120,166,395498,507434
2002,7,19,21,32,52,59,61,67,#N/A,25.9,26.2,27.2,27.1,1,0,97,120,395431,508014
2002,8,20,20,21,32,52,43,50,#N/A,25.1,25.9,26.2,27.2,0,1,0,97,395364,508594
2002,9,21,24,20,21,32,32,35,#N/A,26.2,25.1,25.9,26.2,0,0,1,0,395296,509174
2002,10,22,16,24,20,21,59,24,#N/A,27.5,26.2,25.1,25.9,2,0,0,1,395229,509754
2002,11,23,15,16,24,20,52,15,#N/A,27.8,27.5,26.2,25.1,262,2,0,0,395162,510334
2002,12,24,4,15,16,24,32,3,#N/A,27.2,27.8,27.5,26.2,236,262,2,0,395094,510914
2003,1,25,56,4,15,16,21,61,48,26.6,27.2,27.8,27.5,174,236,262,2,395027,501024
2003,2,26,43,56,4,15,20,43,47,26.4,26.6,27.2,27.8,465,174,236,262,394959,491135
2003,3,27,37,43,56,4,24,32,47,27,26.4,26.6,27.2,233,465,174,236,394892,481245
2003,4,28,86,37,43,56,16,59,63,27.8,27,26.4,26.6,44,233,465,174,394825,471356
2003,5,29,51,86,37,43,15,52,142,26.9,27.8,27,26.4,123,44,233,465,394757,461466
2003,6,30,51,51,86,37,4,32,66,26.3,26.9,27.8,27,14,123,44,233,394690,451577
2003,7,31,50,51,51,86,56,21,67,24.8,26.3,26.9,27.8,0,14,123,44,394623,441687
2003,8,32,20,50,51,51,43,20,50,25.3,24.8,26.3,26.9,0,0,14,123,394555,431797
2003,9,33,37,20,50,51,37,24,35,26.7,25.3,24.8,26.3,0,0,0,14,394488,421908
2003,10,34,33,37,20,50,86,16,24,27.1,26.7,25.3,24.8,29,0,0,0,394421,412018
2003,11,35,17,33,37,20,51,15,15,#N/A,27.1,26.7,25.3,#N/A,29,0,0,394353,402129
2003,12,36,22,17,33,37,51,4,3,26.5,#N/A,27.1,26.7,301,#N/A,29,0,394286,392239
2004,1,37,151,22,17,33,50,56,61,27,26.5,#N/A,27.1,334,301,#N/A,29,394218,392719
2004,2,38,160,151,22,17,20,43,43,26.5,27,26.5,#N/A,159,334,301,#N/A,394151,393199
2004,3,39,261,160,151,22,37,37,32,26.6,26.5,27,26.5,268,159,334,301,394084,393680
2004,4,40,36,261,160,151,33,86,59,28,26.6,26.5,27,19,268,159,334,394016,394160
2004,5,41,13,36,261,160,17,51,52,27.2,28,26.6,26.5,23,19,268,159,393949,394640
2004,6,42,4,13,36,261,22,51,32,25.9,27.2,28,26.6,6,23,19,268,393882,395120
2004,7,43,12,4,13,36,151,50,21,26.2,25.9,27.2,28,13,6,23,19,393814,395600
2004,8,44,10,12,4,13,160,20,20,25.4,26.2,25.9,27.2,7,13,6,23,393747,396080
2004,9,45,20,10,12,4,261,37,24,26.8,25.4,26.2,25.9,1,7,13,6,393679,396561
2004,10,46,11,20,10,12,36,33,16,27.5,26.8,25.4,26.2,13,1,7,13,393612,397041
2004,11,47,9,11,20,10,13,17,15,27.6,27.5,26.8,25.4,329,13,1,7,393545,397521
2004,12,48,18,9,11,20,4,22,4,26.7,27.6,27.5,26.8,424,329,13,1,393477,398001
2005,1,49,15,18,9,11,12,151,56,26.7,26.7,27.6,27.5,346,424,329,13,393410,401104
2005,2,50,31,15,18,9,10,160,43,26.7,26.7,26.7,27.6,484,346,424,329,393343,404207
2005,3,51,39,31,15,18,20,261,37,27.3,26.7,26.7,26.7,152,484,346,424,393275,407310
2005,4,52,30,39,31,15,11,36,86,27.3,27.3,26.7,26.7,254,152,484,346,393208,410413
2005,5,53,23,30,39,31,9,13,51,27.7,27.3,27.3,26.7,1,254,152,484,393141,413516
2005,6,54,14,23,30,39,18,4,51,27.5,27.7,27.3,27.3,106,1,254,152,393073,416619
2005,7,55,7,14,23,30,15,12,50,26.2,27.5,27.7,27.3,123,106,1,254,393006,419721
2005,8,56,17,7,14,23,31,10,20,25.8,26.2,27.5,27.7,12,123,106,1,392938,422824
2005,9,57,13,17,7,14,39,20,37,27,25.8,26.2,27.5,5,12,123,106,392871,425927
2005,10,58,19,13,17,7,30,11,33,27.3,27,25.8,26.2,128,5,12,123,392804,429030
2005,11,59,34,19,13,17,23,9,17,27.4,27.3,27,25.8,87,128,5,12,392736,432133
2005,12,60,101,34,19,13,14,18,22,25.9,27.4,27.3,27,481,87,128,5,392669,435236
2006,1,61,172,101,34,19,7,15,151,26.4,25.9,27.4,27.3,391,481,87,128,392602,435892
2006,2,62,230,172,101,34,17,31,160,26.8,26.4,25.9,27.4,309,391,481,87,392534,436549
2006,3,63,247,230,172,101,13,39,261,26.6,26.8,26.4,25.9,337,309,391,481,392467,437205
2006,4,64,63,247,230,172,19,30,36,26.5,26.6,26.8,26.4,232,337,309,391,392400,437861
2006,5,65,31,63,247,230,34,23,13,26.7,26.5,26.6,26.8,195,232,337,309,392332,438518
